subj,condition,ageday,exp_look,unexp_look,sex,paper
15,1_twoobject,103.32,7.05,6.6,F,choi2018
16,1_twoobject,77.88,45.3,60,F,choi2018
17,1_oneobject,119.32,35.5,26.9,M,choi2018
18,1_oneobject,83.88,19.4,15.2,M,choi2018
19,1_oneobject,96.32,11.55,38.05,M,choi2018
20,1_oneobject,117.32,21.65,27.25,M,choi2018
21,1_oneobject,75.88,6.2,7.65,F,choi2018
22,1_oneobject,111.32,8.7,7.25,F,choi2018
23,1_oneobject,89.88,12.35,8.4,F,choi2018
24,1_oneobject,127.76,6.6,7.95,F,choi2018
25,1_oneobject,84.88,32.65,28.2,M,choi2018
26,1_oneobject,118.32,37.25,34.15,M,choi2018
27,1_oneobject,123.76,27.1,15.35,M,choi2018
28,1_oneobject,92.32,12.35,11.85,M,choi2018
29,1_oneobject,111.32,6.9,14.8,F,choi2018
30,1_oneobject,92.32,33.15,7.95,F,choi2018
31,1_oneobject,75.88,17.3,12.5,F,choi2018
32,1_oneobject,92.32,12.45,40.8,F,choi2018
33,1_hidden,85.88,34.95,12.1,M,choi2018
34,1_hidden,92.32,33.75,37.7,M,choi2018
35,1_hidden,79.88,60,30.35,M,choi2018
36,1_hidden,75.88,58.1,60,F,choi2018
37,1_hidden,119.32,6.9,9,F,choi2018
38,1_hidden,84.88,12,26.4,F,choi2018
39,1_hidden,113.32,10.9,10.9,F,choi2018
40,1_hidden,117.32,11,20.4,F,choi2018
41,1_hidden,86.88,8.3,10.25,M,choi2018
42,1_hidden,75.88,6.6,21.6,M,choi2018
43,1_hidden,121.76,15.5,17.65,M,choi2018
44,1_hidden,95.32,42,39.75,M,choi2018
45,1_hidden,110.32,32.9,12.7,F,choi2018
46,1_hidden,95.32,33.85,14.65,F,choi2018
47,1_hidden,120.32,31.7,31.9,F,choi2018
48,1_hidden,110.32,12.95,7.55,F,choi2018
1,3_statechangebarrier,122,10.6,13.733333,f,liu2019
2,3_statechangebarrier,91,35.833333,34.1,m,liu2019
3,3_statechangebarrier,113,8.533333,16,f,liu2019
4,3_statechangebarrier,95,24.733333,25.9,m,liu2019
5,3_statechangebarrier,103,16.3,26.866667,m,liu2019
6,3_statechangebarrier,104,9.733333,9.333333,f,liu2019
7,3_statechangebarrier,118,13.366667,15.766667,m,liu2019
8,3_statechangebarrier,111,11.533333,20.566667,m,liu2019
9,3_statechangebarrier,97,18.066667,6.833333,f,liu2019
10,3_statechangebarrier,122,11.433333,19.766667,f,liu2019
11,3_statechangebarrier,121,8.6,11.266667,m,liu2019
12,3_statechangebarrier,106,17.566667,13.766667,f,liu2019
13,3_statechangebarrier,114,5.533333,5.133333,m,liu2019
14,3_statechangebarrier,102,3.066667,7.366667,f,liu2019
15,3_statechangebarrier,94,7.8,21.7,m,liu2019
16,3_statechangebarrier,98,3.7,5,f,liu2019
17,3_statechangebarrier,96,12.366667,12.833333,f,liu2019
18,3_statechangebarrier,107,6.3,12.9,f,liu2019
19,3_statechangebarrier,115,10.333333,17.3,f,liu2019
20,3_statechangebarrier,113,11.966667,12.833333,f,liu2019
21,3_statechangenobarrier,100,22,8.1,f,liu2019
22,3_statechangenobarrier,101,29.246667,20.67,f,liu2019
23,3_statechangenobarrier,121,7.2,4.433333,f,liu2019
24,3_statechangenobarrier,112,7.3,5.033333,f,liu2019
25,3_statechangenobarrier,122,4.933333,3.2,m,liu2019
26,3_statechangenobarrier,112,9.433333,7.966667,m,liu2019
27,3_statechangenobarrier,104,10.433333,10.7,f,liu2019
