"","subj","paper","MA_condition","ageday","exp_look","unexp_look","sex","experiment","condition","task","training_yesno","action_consequence","actor_hand","agent_efficient_fam","object_diff_size_huge","action_causal","location_object_goal_ambiguous","bothobjects_present_visible_fam","agent","PI_group","look_pref"
"100","100","skerry2013","4_constrainedactionhabituation",120,6.366667,10.466667,"m","4","4_constrainedactionhabituation","constraints","yes","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",4.1
"101","101","skerry2013","4_constrainedactionhabituation",95,20.6,18,"m","4","4_constrainedactionhabituation","constraints","yes","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",-2.6
"102","102","skerry2013","4_constrainedactionhabituation",112,6.333333,7.033333,"m","4","4_constrainedactionhabituation","constraints","yes","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",0.7
"103","103","skerry2013","4_constrainedactionhabituation",100,4.966667,4.866667,"f","4","4_constrainedactionhabituation","constraints","yes","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",-0.100000000000001
"104","104","skerry2013","4_constrainedactionhabituation",118,11.566667,19.3,"f","4","4_constrainedactionhabituation","constraints","yes","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",7.733333
"105","105","skerry2013","4_constrainedactionhabituation",96,18.133333,7.533333,"f","4","4_constrainedactionhabituation","constraints","yes","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",-10.6
"106","106","skerry2013","4_constrainedactionhabituation",114,7.3,11.466667,"f","4","4_constrainedactionhabituation","constraints","yes","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",4.166667
"107","107","skerry2013","4_constrainedactionhabituation",119,6.9,11.166667,"m","4","4_constrainedactionhabituation","constraints","yes","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",4.266667
"108","108","skerry2013","4_constrainedactionhabituation",115,7.866667,12.233333,"m","4","4_constrainedactionhabituation","constraints","yes","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",4.366666
"109","109","skerry2013","4_constrainedactionhabituation",94,5.5,15.1,"f","4","4_constrainedactionhabituation","constraints","yes","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",9.6
"110","110","skerry2013","4_constrainedactionhabituation",107,7.1,7.033333,"f","4","4_constrainedactionhabituation","constraints","yes","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",-0.0666669999999998
"111","111","skerry2013","4_constrainedactionhabituation",118,5.1,6.833333,"f","4","4_constrainedactionhabituation","constraints","yes","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",1.733333
"112","112","skerry2013","4_constrainedactionhabituation",118,10.366667,19.033333,"m","4","4_constrainedactionhabituation","constraints","yes","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",8.666666
"113","113","skerry2013","4_constrainedactionhabituation",98,5.766667,16.633333,"m","4","4_constrainedactionhabituation","constraints","yes","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",10.866666
"114","114","skerry2013","4_constrainedactionhabituation",96,2.866667,5.933333,"m","4","4_constrainedactionhabituation","constraints","yes","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",3.066666
"115","115","skerry2013","4_constrainedactionhabituation",95,9.333333,6.8,"m","4","4_constrainedactionhabituation","constraints","yes","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",-2.533333
"116","116","skerry2013","4_constrainedactionhabituation",111,12.133333,12.633333,"f","4","4_constrainedactionhabituation","constraints","yes","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",0.5
"117","117","skerry2013","4_constrainedactionhabituation",110,9.133333,11.3,"f","4","4_constrainedactionhabituation","constraints","yes","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",2.166667
"118","118","skerry2013","4_constrainedactionhabituation",97,6.233333,8,"f","4","4_constrainedactionhabituation","constraints","yes","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",1.766667
"119","119","skerry2013","4_constrainedactionhabituation",93,11.666667,19.033333,"f","4","4_constrainedactionhabituation","constraints","yes","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",7.366666
"120","120","skerry2013","4_constrainedactionhabituation",118,7.566667,6.366667,"m","4","4_constrainedactionhabituation","constraints","yes","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",-1.2
"121","121","skerry2013","4_constrainedactionhabituation",112,9.733333,6.3,"f","4","4_constrainedactionhabituation","constraints","yes","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",-3.433333
"122","122","skerry2013","4_constrainedactionhabituation",103,20.7,25.866667,"m","4","4_constrainedactionhabituation","constraints","yes","location_change","mittened","yes",NA,"yes",NA,NA,"person","spelke",5.166667
"123","123","skerry2013","5_unconstrainedactionhabituation",93,6.2,11.966667,"f","5","5_unconstrainedactionhabituation","constraints","yes","location_change","mittened","no",NA,"yes",NA,NA,"person","spelke",5.766667
"124","124","skerry2013","5_unconstrainedactionhabituation",114,6.4,9.333333,"f","5","5_unconstrainedactionhabituation","constraints","yes","location_change","mittened","no",NA,"yes",NA,NA,"person","spelke",2.933333
"125","125","skerry2013","5_unconstrainedactionhabituation",110,9.933333,15.5,"m","5","5_unconstrainedactionhabituation","constraints","yes","location_change","mittened","no",NA,"yes",NA,NA,"person","spelke",5.566667
"126","126","skerry2013","5_unconstrainedactionhabituation",98,35.466667,39.933333,"f","5","5_unconstrainedactionhabituation","constraints","yes","location_change","mittened","no",NA,"yes",NA,NA,"person","spelke",4.466666
"127","127","skerry2013","5_unconstrainedactionhabituation",103,9.066667,6.866667,"m","5","5_unconstrainedactionhabituation","constraints","yes","location_change","mittened","no",NA,"yes",NA,NA,"person","spelke",-2.2
"128","128","skerry2013","5_unconstrainedactionhabituation",114,19.4,14.533333,"f","5","5_unconstrainedactionhabituation","constraints","yes","location_change","mittened","no",NA,"yes",NA,NA,"person","spelke",-4.866667
"129","129","skerry2013","5_unconstrainedactionhabituation",100,19.4,12.433333,"f","5","5_unconstrainedactionhabituation","constraints","yes","location_change","mittened","no",NA,"yes",NA,NA,"person","spelke",-6.966667
"130","130","skerry2013","5_unconstrainedactionhabituation",111,28.333333,22.766667,"m","5","5_unconstrainedactionhabituation","constraints","yes","location_change","mittened","no",NA,"yes",NA,NA,"person","spelke",-5.566666
"131","131","skerry2013","5_unconstrainedactionhabituation",109,6.3,5.733333,"m","5","5_unconstrainedactionhabituation","constraints","yes","location_change","mittened","no",NA,"yes",NA,NA,"person","spelke",-0.566667
"132","132","skerry2013","5_unconstrainedactionhabituation",98,45,45,"m","5","5_unconstrainedactionhabituation","constraints","yes","location_change","mittened","no",NA,"yes",NA,NA,"person","spelke",0
"133","133","skerry2013","5_unconstrainedactionhabituation",102,5.5,3.966667,"f","5","5_unconstrainedactionhabituation","constraints","yes","location_change","mittened","no",NA,"yes",NA,NA,"person","spelke",-1.533333
"134","134","skerry2013","5_unconstrainedactionhabituation",106,12.433333,8.2,"f","5","5_unconstrainedactionhabituation","constraints","yes","location_change","mittened","no",NA,"yes",NA,NA,"person","spelke",-4.233333
"135","135","skerry2013","5_unconstrainedactionhabituation",105,9.033333,10.933333,"f","5","5_unconstrainedactionhabituation","constraints","yes","location_change","mittened","no",NA,"yes",NA,NA,"person","spelke",1.9
"136","136","skerry2013","5_unconstrainedactionhabituation",115,6.866667,8.433333,"m","5","5_unconstrainedactionhabituation","constraints","yes","location_change","mittened","no",NA,"yes",NA,NA,"person","spelke",1.566666
"137","137","skerry2013","5_unconstrainedactionhabituation",119,16.3,6.433333,"m","5","5_unconstrainedactionhabituation","constraints","yes","location_change","mittened","no",NA,"yes",NA,NA,"person","spelke",-9.866667
"138","138","skerry2013","5_unconstrainedactionhabituation",103,6.366667,6.433333,"f","5","5_unconstrainedactionhabituation","constraints","yes","location_change","mittened","no",NA,"yes",NA,NA,"person","spelke",0.0666660000000006
