"71","1_Control",104.4092,12.17,8.71,"Male","X[[i]]"
"72","1_Control",114.7588,5.26,1.77,"Female","X[[i]]"
"1","1_Active",106.54,2.81,5.36,"f","X[[i]]"
"2","1_Active",98.3212,5.89,4.24,"m","X[[i]]"
"3","1_Active",119.6292,4.48,18.61,"m","X[[i]]"
"4","1_Active",104.4092,3.99,2.15,"f","X[[i]]"
"5","1_Active",116.5852,2.29,6.68,"f","X[[i]]"
"6","1_Active",105.6268,5.89,16.85,"f","X[[i]]"
"7","1_Active",96.4948,3.67,4.5,"m","X[[i]]"
"8","1_Active",106.54,6.49,7.95,"m","X[[i]]"
"9","1_Active",116.5852,5.42,12.54,"m","X[[i]]"
"10","1_Active",125.7172,3.42,2.25,"f","X[[i]]"
"11","1_Active",113.5412,1.97,1.95,"f","X[[i]]"
"12","1_Active",119.6292,9.08,14.44,"m","X[[i]]"
"13","1_Active",104.4092,4.72,10.55,"f","X[[i]]"
"14","1_Active",105.6268,6.03,9.9,"f","X[[i]]"
"15","1_Active",111.7148,3.11,10.2,"m","X[[i]]"
"16","1_Active",91.32,2.96,2.23,"m","X[[i]]"
"17","1_Active",94.364,4.4,34.12,"f","X[[i]]"
"18","1_Active",120.8468,13.27,3.38,"m","X[[i]]"
"19","1_Active",110.4972,5.98,1.14,"f","X[[i]]"
"20","1_Active",109.584,3.81,31.49,"f","X[[i]]"
"21","1_Active",97.408,11.47,13.73,"m","X[[i]]"
"22","1_Active",93.4508,17.19,16.59,"m","X[[i]]"
"23","1_Active",119.6292,6.87,0.81,"f","X[[i]]"
"24","1_Active",107.4532,13.76,7.9,"m","X[[i]]"
"25","1_Active",107.4532,0.85,1.45,"f","X[[i]]"
"26","1_Active",95.2772,3.98,4.15,"m","X[[i]]"
"27","1_Active",102.5828,4.49,2.4,"f","X[[i]]"
"28","1_Active",107.4532,1.07,2.83,"m","X[[i]]"
"29","1_Active",94.364,5.57,3.44,"f","X[[i]]"
"30","1_Active",121.76,19.64,29.22,"m","X[[i]]"
"31","1_Observational",104.4092,7.87,3.23,"f","X[[i]]"
"32","1_Observational",104.4092,4.39,5.47,"m","X[[i]]"
"33","1_Observational",119.6292,3.18,2.96,"m","X[[i]]"
"34","1_Observational",97.408,4.38,2.9,"f","X[[i]]"
"35","1_Observational",118.716,1.53,3.18,"f","X[[i]]"
"36","1_Observational",105.6268,10.91,9.76,"f","X[[i]]"
"37","1_Observational",125.7172,2.24,1.81,"m","X[[i]]"
