subj,paper,MA_condition,ageday,exp_look,unexp_look,sex
272,gerson2014b,1_Observation,99.5388,14.59,6.85,f
273,gerson2014b,1_Observation,113.5412,10.79,12.48,f
274,gerson2014b,1_Observation,114.7588,6.75,2.85,m
275,gerson2014b,1_Observation,95.2772,6.12,31.9,f
276,gerson2014b,1_Observation,93.4508,2.95,19.34,m
277,gerson2014b,1_Observation,97.408,6.49,1.33,f
278,gerson2014b,1_Observation,113.5412,3.84,5.24,f
279,gerson2014b,1_Observation,95.2772,9.67,12.38,f
280,gerson2014b,1_Observation,104.4092,4.49,2.83,f
281,gerson2014b,2_Generalization,121.76,4.38,3.66,f
282,gerson2014b,2_Generalization,109.584,2.18,0.18,m
283,gerson2014b,2_Generalization,118.716,1.98,1.83,m
284,gerson2014b,2_Generalization,115.672,2.38,1.59,f
285,gerson2014b,2_Generalization,122.6732,3.84,4.07,f
286,gerson2014b,2_Generalization,110.4972,2.32,2.74,m
287,gerson2014b,2_Generalization,116.5852,2.32,6.21,m
288,gerson2014b,2_Generalization,109.584,2.95,4.27,m
289,gerson2014b,2_Generalization,113.5412,7.39,2.25,f
290,gerson2014b,2_Generalization,107.4532,2.93,5.27,m
291,gerson2014b,2_Generalization,112.628,1.21,1.57,m
292,gerson2014b,2_Generalization,106.54,2.98,2.24,m
293,gerson2014b,2_Generalization,118.716,5.18,3.56,f
294,gerson2014b,2_Generalization,118.716,1.28,0.93,f
295,gerson2014b,2_Generalization,111.7148,6.52,1.19,m
296,gerson2014b,2_Generalization,121.76,8.22,14.14,m
297,gerson2014b,2_Generalization,108.6708,11.47,11.39,m
298,gerson2014b,2_Generalization,109.584,3.26,7.92,f
299,gerson2014b,2_Generalization,114.7588,2.4,12.82,f
300,gerson2014b,2_Generalization,94.364,12.19,9.34,f
301,gerson2014b,2_Generalization,95.2772,5.79,7.74,m
302,gerson2014b,2_Generalization,102.5828,14.41,14.04,m
303,gerson2014b,2_Generalization,116.5852,9.18,3.77,f
304,gerson2014b,2_Generalization,109.584,6.13,4.72,f
305,gerson2014b,2_Generalization,119.6292,12.87,7.55,m
306,gerson2014b,2_Generalization,108.6708,9.16,25.15,f
307,gerson2014b,2_Generalization,107.4532,4.86,13.45,f
308,gerson2014b,2_Generalization,121.76,5.32,6.32,f
309,gerson2014b,2_Generalization,111.7148,17.85,13.98,f
310,gerson2014b,2_Generalization,125.7172,23.2,19.44,m
383,choi2018,1_twoobject,130.76,9.85,19.05,m
384,choi2018,1_twoobject,89.88,39.1,60,m
385,choi2018,1_twoobject,81.88,6.6,29.8,m
386,choi2018,1_twoobject,111.32,9.7,5.55,f
387,choi2018,1_twoobject,99.32,42.05,37.45,f
388,choi2018,1_twoobject,85.88,7.3,22.3,f
389,choi2018,1_twoobject,109.32,59.25,60,f
390,choi2018,1_twoobject,112.32,5.05,7.95,f
391,choi2018,1_twoobject,89.88,23.65,18.4,m
392,choi2018,1_twoobject,97.32,60,50.65,m
393,choi2018,1_twoobject,113.32,44.6,60,m
394,choi2018,1_twoobject,114.32,28.6,60,m
395,choi2018,1_twoobject,109.32,20.2,10.25,m
396,choi2018,1_twoobject,109.32,5.45,7.8,f
397,choi2018,1_twoobject,103.32,7.05,6.6,f
398,choi2018,1_twoobject,77.88,45.3,60,f
399,choi2018,1_oneobject,119.32,35.5,26.9,m
400,choi2018,1_oneobject,83.88,19.4,15.2,m
401,choi2018,1_oneobject,96.32,11.55,38.05,m
402,choi2018,1_oneobject,117.32,21.65,27.25,m
403,choi2018,1_oneobject,75.88,6.2,7.65,f
404,choi2018,1_oneobject,111.32,8.7,7.25,f
405,choi2018,1_oneobject,89.88,12.35,8.4,f
406,choi2018,1_oneobject,127.76,6.6,7.95,f
407,choi2018,1_oneobject,84.88,32.65,28.2,m
408,choi2018,1_oneobject,118.32,37.25,34.15,m
409,choi2018,1_oneobject,123.76,27.1,15.35,m
410,choi2018,1_oneobject,92.32,12.35,11.85,m
411,choi2018,1_oneobject,111.32,6.9,14.8,f
412,choi2018,1_oneobject,92.32,33.15,7.95,f
413,choi2018,1_oneobject,75.88,17.3,12.5,f
414,choi2018,1_oneobject,92.32,12.45,40.8,f
415,choi2018,1_hidden,85.88,34.95,12.1,m
416,choi2018,1_hidden,92.32,33.75,37.7,m
417,choi2018,1_hidden,79.88,60,30.35,m
418,choi2018,1_hidden,75.88,58.1,60,f
419,choi2018,1_hidden,119.32,6.9,9,f
420,choi2018,1_hidden,84.88,12,26.4,f
421,choi2018,1_hidden,113.32,10.9,10.9,f
422,choi2018,1_hidden,117.32,11,20.4,f
423,choi2018,1_hidden,86.88,8.3,10.25,m
424,choi2018,1_hidden,75.88,6.6,21.6,m
425,choi2018,1_hidden,121.76,15.5,17.65,m
426,choi2018,1_hidden,95.32,42,39.75,m
427,choi2018,1_hidden,110.32,32.9,12.7,f
428,choi2018,1_hidden,95.32,33.85,14.65,f
429,choi2018,1_hidden,120.32,31.7,31.9,f
430,choi2018,1_hidden,110.32,12.95,7.55,f
431,liu2019,3_statechangebarrier,122,10.6,13.733333,f
432,liu2019,3_statechangebarrier,91,35.833333,34.1,m
433,liu2019,3_statechangebarrier,113,8.533333,16,f
434,liu2019,3_statechangebarrier,95,24.733333,25.9,m
435,liu2019,3_statechangebarrier,103,16.3,26.866667,m
436,liu2019,3_statechangebarrier,104,9.733333,9.333333,f
437,liu2019,3_statechangebarrier,118,13.366667,15.766667,m
438,liu2019,3_statechangebarrier,111,11.533333,20.566667,m
439,liu2019,3_statechangebarrier,97,18.066667,6.833333,f
440,liu2019,3_statechangebarrier,122,11.433333,19.766667,f
441,liu2019,3_statechangebarrier,121,8.6,11.266667,m
442,liu2019,3_statechangebarrier,106,17.566667,13.766667,f
443,liu2019,3_statechangebarrier,114,5.533333,5.133333,m
444,liu2019,3_statechangebarrier,102,3.066667,7.366667,f
445,liu2019,3_statechangebarrier,94,7.8,21.7,m
446,liu2019,3_statechangebarrier,98,3.7,5,f
447,liu2019,3_statechangebarrier,96,12.366667,12.833333,f
448,liu2019,3_statechangebarrier,107,6.3,12.9,f
449,liu2019,3_statechangebarrier,115,10.333333,17.3,f
450,liu2019,3_statechangebarrier,113,11.966667,12.833333,f
451,liu2019,3_statechangenobarrier,100,22,8.1,f
452,liu2019,3_statechangenobarrier,101,29.246667,20.67,f
453,liu2019,3_statechangenobarrier,121,7.2,4.433333,f
454,liu2019,3_statechangenobarrier,112,7.3,5.033333,f
455,liu2019,3_statechangenobarrier,122,4.933333,3.2,m
456,liu2019,3_statechangenobarrier,112,9.433333,7.966667,m
457,liu2019,3_statechangenobarrier,104,10.433333,10.7,f
458,liu2019,3_statechangenobarrier,114,11.7,12.6,f
459,liu2019,3_statechangenobarrier,112,4.266667,5.6,f
460,liu2019,3_statechangenobarrier,105,4.7,6.2,m
461,liu2019,3_statechangenobarrier,93,10.4,5.233333,m
462,liu2019,3_statechangenobarrier,91,28.366667,16.7,m
463,liu2019,3_statechangenobarrier,113,5.833333,6.833333,f
464,liu2019,3_statechangenobarrier,93,13.5,31.566667,m
465,liu2019,3_statechangenobarrier,121,5.066667,5.533333,m
466,liu2019,3_statechangenobarrier,122,6.7,6.233333,m
467,liu2019,3_statechangenobarrier,118,5.8,4.9,m
468,liu2019,3_statechangenobarrier,101,7.566667,4.466667,f
469,liu2019,3_statechangenobarrier,115,1.79,2.223333,f
470,liu2019,3_statechangenobarrier,95,5.833333,7.566667,f
471,liu2019,4_statechangenotcausal,109,8.67,11.17,m
472,liu2019,4_statechangenotcausal,112,5.3,3.7,m
473,liu2019,4_statechangenotcausal,104,18.2,7.1,f
474,liu2019,4_statechangenotcausal,99,18.5,15.3,f
475,liu2019,4_statechangenotcausal,104,17.03,10.43,f
476,liu2019,4_statechangenotcausal,93,6.33,6.9,f
477,liu2019,4_statechangenotcausal,107,9.27,6.93,m
478,liu2019,4_statechangenotcausal,121,8.93,7.13,m
479,liu2019,4_statechangenotcausal,102,8.03,16.9,f
480,liu2019,4_statechangenotcausal,107,12,18.67,f
481,liu2019,4_statechangenotcausal,107,13.63,35.27,m
482,liu2019,4_statechangenotcausal,118,9.67,9.3,f
483,liu2019,4_statechangenotcausal,120,26.83,24.2,f
484,liu2019,4_statechangenotcausal,114,31.37,16.67,m
485,liu2019,4_statechangenotcausal,97,34.83,11.1,m
486,liu2019,4_statechangenotcausal,98,21.53,18.73,f
487,liu2019,4_statechangenotcausal,107,7.83,12.03,f
488,liu2019,4_statechangenotcausal,121,35.97,31.3,f
489,liu2019,4_statechangenotcausal,95,23.7,20.93,f
490,liu2019,4_statechangenotcausal,99,9.97,22.37,m
491,liu2019,5_statechangenotcausal,95,12.92,3.93,m
492,liu2019,5_statechangenotcausal,112,4.1,3.1,f
493,liu2019,5_statechangenotcausal,120,6.62,6.56,m
494,liu2019,5_statechangenotcausal,99,12.54,6.09,f
495,liu2019,5_statechangenotcausal,113,25.44,8.94,m
496,liu2019,5_statechangenotcausal,119,3.23,10.12,m
497,liu2019,5_statechangenotcausal,93,7.39,8.9,m
498,liu2019,5_statechangenotcausal,112,45,37.39,m
499,liu2019,5_statechangenotcausal,106,7.6,15.16,m
500,liu2019,5_statechangenotcausal,99,13.17,6.8,f
501,liu2019,5_statechangenotcausal,97,19.16,12.43,m
502,liu2019,5_statechangenotcausal,119,21.22,10.6,f
503,liu2019,5_statechangenotcausal,114,10.92,16.2,m
504,liu2019,5_statechangenotcausal,120,3.95,2.11,m
505,liu2019,5_statechangenotcausal,120,5.04,6.67,m
506,liu2019,5_statechangenotcausal,117,4.62,3.25,m
507,liu2019,5_statechangenotcausal,105,8.86,17.93,f
508,liu2019,5_statechangenotcausal,114,9.92,12.11,f
509,liu2019,5_statechangenotcausal,105,9.09,8.91,m
510,liu2019,5_statechangenotcausal,98,37.47,18.94,f
511,liu2019,5_statechangenotcausal,118,6.7,10.9,m
512,liu2019,5_statechangenotcausal,93,9.42,26.33,f
513,liu2019,5_statechangenotcausal,112,27.79,17.09,f
514,liu2019,5_statechangenotcausal,120,3.16,5.79,m
515,liu2019,5_statechangenotcausal,120,11.63,12.54,m
516,liu2019,5_statechangenotcausal,97,8.12,7.49,m
517,liu2019,5_statechangecausal,112,15.43,16.62,f
518,liu2019,5_statechangecausal,106,6.04,7.88,m
519,liu2019,5_statechangecausal,96,1.82,9.93,f
520,liu2019,5_statechangecausal,110,5.49,3.73,m
521,liu2019,5_statechangecausal,99,11.13,17.57,f
522,liu2019,5_statechangecausal,109,8.69,9.3,m
523,liu2019,5_statechangecausal,100,8.25,11.18,m
524,liu2019,5_statechangecausal,112,2.24,4.19,m
525,liu2019,5_statechangecausal,102,11.52,6.09,f
526,liu2019,5_statechangecausal,96,8.33,18.82,m
527,liu2019,5_statechangecausal,102,2.98,3.14,f
528,liu2019,5_statechangecausal,97,7.54,7.18,f
529,liu2019,5_statechangecausal,113,6.24,8.02,m
530,liu2019,5_statechangecausal,95,1.82,4.33,m
531,liu2019,5_statechangecausal,92,8.75,19.16,m
532,liu2019,5_statechangecausal,103,6.51,6.78,f
533,liu2019,5_statechangecausal,104,2.39,5.27,f
